shooting_type,age_group,race,sex,lat,lng
lethal,20-29,Hispanic,Male,41.910403096,-87.713900941
lethal,30-39,Black,Male,41.752503096,-87.601150941
lethal,20-29,Black,Male,41.901139669,-87.714978547
lethal,20-29,Black,Male,41.703211654,-87.624925346
lethal,30-39,Black,Male,41.707418346,-87.611544654
lethal,40-49,Black,Male,41.878636904,-87.698039059
lethal,0-19,Black,Male,41.881883096,-87.720660941
lethal,20-29,Black,Female,41.737649669,-87.563648547
lethal,0-19,Black,Female,41.737649669,-87.563648547
lethal,20-29,Black,Male,41.766790034,-87.654695946
lethal,20-29,Black,Female,41.747006904,-87.595270941
lethal,20-29,Black,Male,41.685371654,-87.610424654
lethal,30-39,Black,Male,41.894746904,-87.758930941
lethal,20-29,Hispanic,Male,41.778436904,-87.698409059
lethal,20-29,Hispanic,Male,41.890393096,-87.632199059
lethal,30-39,Black,Male,41.770508346,-87.661825346
lethal,20-29,Black,Male,41.903693096,-87.774309059
lethal,20-29,Black,Male,41.857681654,-87.638364654
lethal,20-29,Black,Male,41.898249669,-87.624118547
lethal,30-39,Black,Male,41.746326904,-87.644339059
lethal,30-39,Black,Male,41.880451654,-87.723454654
lethal,30-39,Black,Male,41.722973096,-87.583439059
lethal,30-39,Black,Male,41.722973096,-87.583439059
lethal,30-39,Black,Male,41.740766904,-87.702579059
lethal,0-19,Black,Female,41.786329669,-87.650728547
lethal,20-29,Black,Male,41.764376904,-87.628619059
lethal,20-29,Black,Male,41.809686904,-87.666349059
lethal,20-29,Black,Male,41.725386904,-87.600060941
lethal,0-19,Hispanic,Male,41.810156904,-87.665439059
lethal,20-29,Black,Male,41.880016904,-87.753049059
lethal,20-29,Black,Male,41.895461654,-87.707284654
lethal,0-19,Black,Female,41.875488346,-87.732145346
lethal,30-39,Black,Male,41.751979669,-87.604488547
lethal,20-29,Black,Male,41.778398346,-87.633104654
lethal,50-59,White,Male,41.901701654,-87.695424654
lethal,20-29,Hispanic,Male,41.843259669,-87.729378547
lethal,20-29,Black,Male,41.768383096,-87.574239059
lethal,20-29,Black,Male,41.852051654,-87.678975346
lethal,20-29,Black,Male,41.7740905,-87.64602
lethal,20-29,Black,Male,41.755258346,-87.641424654
lethal,30-39,Black,Female,41.704413096,-87.634709059
lethal,20-29,Black,Female,41.739801654,-87.555415346
lethal,30-39,Black,Male,41.669953096,-87.636939059
lethal,30-39,Black,Male,41.770178346,-87.643775346
lethal,40-49,Black,Male,41.740209083,-87.576606677
lethal,30-39,Black,Male,41.780328346,-87.682074654
lethal,30-39,Black,Male,41.907488346,-87.639975346
lethal,20-29,Black,Male,41.8538505,-87.71138
lethal,0-19,Black,Male,41.765198346,-87.649815346
lethal,30-39,Black,Male,41.859293096,-87.709910941
lethal,60-69,Black,Male,41.728448346,-87.559575346
lethal,40-49,Black,Male,41.728448346,-87.559575346
lethal,30-39,Black,Male,41.728161654,-87.589455346
lethal,0-19,Black,Male,41.877858346,-87.688184654
lethal,40-49,Black,Male,41.687706904,-87.627899059
lethal,50-59,Black,Male,42.020203096,-87.672329059
lethal,30-39,Black,Male,41.874871654,-87.732594654
lethal,20-29,Black,Male,41.780681654,-87.683104654
lethal,20-29,Black,Male,41.734008346,-87.619595346
lethal,30-39,Black,Male,41.776013096,-87.615919059
lethal,20-29,Black,Male,41.876801654,-87.724795346
lethal,20-29,Black,Male,41.754553096,-87.646430941
lethal,20-29,Black,Male,41.779549669,-87.615598547
lethal,50-59,Black,Male,41.750716904,-87.602360941
lethal,30-39,Black,Male,41.875958346,-87.745755346
lethal,30-39,Black,Male,41.874658346,-87.724694654
lethal,40-49,Black,Male,41.866533096,-87.700319059
lethal,20-29,Hispanic,Male,41.841073096,-87.711830941
lethal,0-19,Black,Female,41.898446904,-87.752830941
lethal,40-49,Hispanic,Male,41.905088346,-87.692354654
lethal,40-49,Hispanic,Male,41.793368346,-87.692274654
lethal,20-29,Black,Male,41.8950205,-87.72349
lethal,20-29,White,Male,41.995081654,-87.708645346
lethal,30-39,Black,Male,41.878812872,-87.694280324
lethal,20-29,Black,Male,41.860856904,-87.694280941
lethal,20-29,Black,Female,41.793068346,-87.616815346
lethal,20-29,Hispanic,Male,41.787788346,-87.688164654
lethal,20-29,Black,Male,41.747586904,-87.633810941
lethal,0-19,Black,Male,41.899438346,-87.713495346
lethal,20-29,Black,Male,41.741671654,-87.648935346
lethal,40-49,Black,Male,41.884636904,-87.752670941
lethal,30-39,Black,Male,41.790251654,-87.653635346
lethal,20-29,Black,Male,41.864583096,-87.723089059
lethal,0-19,Black,Male,41.782839669,-87.644858547
lethal,20-29,Black,Male,41.755656904,-87.564980941
lethal,30-39,Hispanic,Male,41.812416904,-87.704579059
lethal,0-19,Hispanic,Female,41.919428346,-87.715405346
lethal,20-29,Black,Male,41.837261654,-87.613184654
lethal,20-29,Black,Male,41.837261654,-87.613184654
lethal,20-29,Black,Male,41.904718346,-87.772734654
lethal,0-19,Black,Male,41.746248346,-87.553714654
lethal,30-39,Black,Male,42.009011654,-87.667164654
lethal,30-39,Hispanic,Male,41.846399669,-87.703558547
lethal,30-39,Black,Male,41.769648346,-87.648735346
lethal,20-29,Black,Male,41.674159669,-87.620388547
lethal,20-29,Black,Male,41.884451654,-87.737814654
lethal,20-29,Black,Male,41.897581654,-87.716975346
lethal,20-29,Hispanic,Male,41.812814104,-87.700760196
lethal,30-39,Hispanic,Female,41.993059669,-87.782348547
lethal,50-59,Hispanic,Male,41.843921654,-87.727375346
lethal,30-39,Hispanic,Male,41.843921654,-87.727375346
lethal,20-29,Black,Male,41.653401654,-87.604334654
lethal,30-39,Black,Female,41.702949669,-87.564858547
lethal,20-29,Hispanic,Male,41.841903497,-87.727134008
lethal,30-39,Black,Male,41.893248346,-87.745084654
lethal,20-29,Black,Male,41.7891605,-87.65612
lethal,20-29,Black,Male,41.773139669,-87.644308547
lethal,30-39,Black,Female,41.838101654,-87.608815346
lethal,30-39,Black,Male,41.776638346,-87.676845346
lethal,0-19,Black,Female,41.883611654,-87.756995346
lethal,30-39,Black,Male,41.760429669,-87.558248547
lethal,20-29,Hispanic,Male,41.840763096,-87.729729059
lethal,40-49,Black,Male,41.744013096,-87.562340941
lethal,20-29,Black,Male,41.781541654,-87.651195346
lethal,30-39,Black,Male,41.781541654,-87.651195346
lethal,50-59,Black,Male,41.781541654,-87.651195346
lethal,0-19,Black,Male,41.781541654,-87.651195346
lethal,20-29,Black,Male,41.655551654,-87.595264654
lethal,20-29,Black,Female,41.860421654,-87.716755346
lethal,20-29,Black,Male,41.905866904,-87.650250941
lethal,40-49,Black,Male,41.870003096,-87.719759059
lethal,20-29,Black,Male,41.875049669,-87.742618547
lethal,30-39,Black,Male,41.758788346,-87.562434654
lethal,30-39,Black,Male,41.861766904,-87.717809059
lethal,20-29,Black,Male,41.655489669,-87.594878547
lethal,40-49,Hispanic,Male,41.819371654,-87.704134654
lethal,30-39,Hispanic,Male,41.819371654,-87.704134654
lethal,20-29,Hispanic,Male,41.872018346,-87.744344654
lethal,30-39,Hispanic,Male,41.931363096,-87.806149059
lethal,30-39,Black,Male,41.873956904,-87.754720941
lethal,20-29,Hispanic,Male,41.913938346,-87.731915346
lethal,20-29,Black,Female,41.692321654,-87.620754654
lethal,0-19,White,Male,41.794843096,-87.690279059
lethal,30-39,Black,Male,41.904086904,-87.726330941
lethal,40-49,Hispanic,Male,41.830821654,-87.667674654
lethal,40-49,White,Male,41.766051654,-87.614694654
lethal,20-29,Black,Male,41.933028346,-87.680704654
lethal,40-49,Black,Male,41.888819455,-87.666718043
lethal,30-39,Black,Male,41.874223096,-87.763130941
lethal,30-39,Hispanic,Female,41.8473305,-87.71181
lethal,30-39,Black,Male,41.768051654,-87.654834654
lethal,30-39,Black,Female,41.748258346,-87.595995346
lethal,50-59,Hispanic,Male,41.901661654,-87.718684654
lethal,20-29,Black,Male,41.765078346,-87.675634654
lethal,30-39,Black,Male,41.773698346,-87.644145346
lethal,20-29,Black,Male,41.765613096,-87.673420941
lethal,20-29,Black,Male,41.860081654,-87.709794654
lethal,30-39,Black,Male,41.772071654,-87.611504654
lethal,30-39,Black,Male,41.7388405,-87.6378
lethal,20-29,Black,Male,41.747676904,-87.634110941
lethal,30-39,Black,Male,41.759016904,-87.634400941
lethal,20-29,Black,Male,41.691516916,-87.613483959
lethal,30-39,Hispanic,Male,41.846853096,-87.711030941
lethal,20-29,Hispanic,Male,41.768018346,-87.656905346
lethal,20-29,Black,Male,41.767771654,-87.647495346
lethal,20-29,Black,Male,41.859801654,-87.713085346
lethal,20-29,Black,Male,41.779159669,-87.648108547
lethal,20-29,Black,Male,41.752748346,-87.650445346
lethal,60-69,Black,Male,41.744983096,-87.602440941
lethal,20-29,Black,Male,41.857471654,-87.730095346
lethal,0-19,Hispanic,Male,41.848903096,-87.692380941
lethal,20-29,Black,Male,41.891436904,-87.713300941
lethal,30-39,Black,Male,41.888751727,-87.626635712
lethal,0-19,Hispanic,Male,41.852143096,-87.705639059
lethal,30-39,Hispanic,Male,41.857738346,-87.675804654
lethal,50-59,Black,Male,41.888549078,-87.681532715
lethal,30-39,Black,Male,41.864876904,-87.697350941
lethal,20-29,Black,Male,41.875201654,-87.722464654
lethal,30-39,Black,Male,41.654158346,-87.606214654
lethal,20-29,Black,Male,41.877646904,-87.721879059
lethal,20-29,Black,Male,41.673628346,-87.616364654
lethal,20-29,Black,Male,41.940793096,-87.765979059
lethal,30-39,Black,Male,41.772916904,-87.589840941
lethal,30-39,Black,Male,41.875903096,-87.723559059
lethal,30-39,Hispanic,Male,41.954643096,-87.747739059
lethal,20-29,Black,Male,41.898063096,-87.748190941
lethal,0-19,Black,Female,41.755903096,-87.551310941
lethal,30-39,Hispanic,Male,41.7859505,-87.69104
lethal,50-59,Black,Male,41.7822105,-87.66901
lethal,30-39,Black,Male,41.887289669,-87.726078547
lethal,20-29,Black,Male,41.736841654,-87.604254654
lethal,20-29,Black,Male,41.726291654,-87.607195346
lethal,20-29,Black,Male,41.692046904,-87.618279059
lethal,30-39,Black,Male,41.8690705,-87.74335
lethal,30-39,Black,Male,41.873806904,-87.738719059
lethal,40-49,Black,Male,41.747276904,-87.573599059
lethal,20-29,Black,Female,41.747276904,-87.573599059
lethal,20-29,Black,Male,41.883066904,-87.749479059
lethal,20-29,Black,Female,41.883583096,-87.739699059
lethal,40-49,Hispanic,Male,41.782378346,-87.702595346
lethal,20-29,Black,Male,41.755001654,-87.564794654
lethal,20-29,Black,Male,41.848346904,-87.731840941
lethal,20-29,Black,Male,41.848346904,-87.731840941
lethal,30-39,Black,Male,41.777353096,-87.646349059
lethal,20-29,Hispanic,Male,41.8515405,-87.67012
lethal,20-29,Black,Male,41.901479669,-87.625808547
lethal,70-79,Black,Male,41.761266904,-87.586629059
lethal,30-39,Black,Male,41.743461654,-87.644125346
lethal,40-49,Hispanic,Male,42.014331654,-87.690515346
lethal,30-39,Black,Male,41.785106904,-87.646950941
lethal,30-39,Black,Male,41.684683096,-87.658349059
lethal,20-29,Hispanic,Male,41.919281654,-87.767615346
lethal,20-29,Black,Male,41.777366904,-87.657499059
lethal,30-39,Black,Male,41.771378346,-87.686514654
lethal,40-49,Black,Male,41.747938346,-87.604035346
lethal,20-29,Black,Male,41.754641654,-87.601374654
lethal,30-39,Black,Male,41.733416904,-87.611989059
lethal,30-39,Black,Male,41.892861654,-87.762074654
lethal,20-29,Black,Male,41.758429669,-87.574898547
lethal,20-29,Black,Male,41.7801705,-87.68505
lethal,30-39,Black,Male,41.734046904,-87.545889059
lethal,20-29,Black,Male,41.8547605,-87.62373
lethal,40-49,Black,Male,41.7728705,-87.69067
lethal,40-49,Black,Male,41.681126904,-87.644350941
lethal,0-19,Black,Male,41.856656904,-87.725549059
lethal,20-29,Black,Male,41.693521669,-87.651752569
lethal,0-19,Black,Male,41.872076904,-87.713760941
lethal,20-29,Hispanic,Male,41.938816904,-87.717970941
lethal,0-19,Hispanic,Male,41.813918346,-87.700954654
lethal,20-29,Hispanic,Male,41.846241654,-87.710894654
lethal,20-29,Black,Male,41.9425405,-87.75707
lethal,0-19,Black,Male,41.912376904,-87.763930941
lethal,40-49,Black,Male,41.725183096,-87.643429059
lethal,40-49,Black,Female,41.891258346,-87.757694654
lethal,20-29,Black,Male,41.895268346,-87.759054654
lethal,30-39,Black,Male,41.740371654,-87.545965346
lethal,30-39,Black,Male,41.882578346,-87.772445346
lethal,40-49,Hispanic,Male,41.846013096,-87.711040941
lethal,30-39,Black,Male,41.863748346,-87.653085346
lethal,20-29,Black,Male,41.855498346,-87.725784654
lethal,20-29,Black,Male,41.7831105,-87.61878
lethal,20-29,White,Male,41.833066904,-87.685599059
lethal,20-29,Black,Male,41.883169669,-87.771878547
lethal,30-39,Black,Male,41.761123096,-87.681690941
lethal,30-39,Black,Male,41.783719669,-87.607248547
lethal,20-29,Black,Male,41.745859669,-87.659378547
lethal,20-29,Black,Male,41.883213096,-87.730510941
lethal,40-49,Black,Male,41.704013096,-87.637999059
lethal,20-29,Black,Female,41.8797405,-87.76503
lethal,20-29,Black,Male,41.749723096,-87.554860941
lethal,0-19,White,Male,41.965271654,-87.733814654
lethal,30-39,Black,Male,41.802976904,-87.648739059
lethal,30-39,Black,Female,41.733841654,-87.603494654
lethal,20-29,Black,Male,41.896886904,-87.725730941
lethal,30-39,Black,Male,41.792459669,-87.643888547
lethal,50-59,Black,Male,41.780301654,-87.654234654
lethal,60-69,Black,Male,41.740676904,-87.551919059
lethal,20-29,Black,Male,41.794273096,-87.648619059
lethal,30-39,Black,Male,41.735651654,-87.652825346
lethal,30-39,Black,Male,41.682116904,-87.680989059
lethal,20-29,Black,Male,41.856141654,-87.705965346
lethal,20-29,Black,Male,41.871148346,-87.715425346
lethal,20-29,Black,Male,41.771419669,-87.657918547
lethal,20-29,Black,Male,41.682166904,-87.655579059
lethal,50-59,Black,Male,41.752950345,-87.641417385
lethal,0-19,Black,Male,41.757471654,-87.574314654
lethal,20-29,Black,Male,41.974656904,-87.656320941
lethal,20-29,Black,Male,41.863676904,-87.659020941
lethal,30-39,Hispanic,Male,41.821566904,-87.690740941
lethal,0-19,Black,Male,41.748983096,-87.557270941
lethal,0-19,Black,Female,41.808326904,-87.642700941
lethal,20-29,Black,Male,41.742853096,-87.581099059
