shooting_type,age_group,race,sex,lat,lng
nonlethal,0-17,Hispanic,Male,40.685704066,-73.871603151
nonlethal,18-24,Hispanic,Female,40.7021195610001,-73.936161591
lethal,25-44,Black,Male,40.8055043470001,-73.9164772519999
nonlethal,25-44,Black,Male,40.84416759,-73.9143035179999
nonlethal,18-24,Black,Male,40.8008463210001,-73.9490300849999
lethal,25-44,Black,Male,40.577587416,-73.9763360709999
lethal,25-44,Black,Male,40.6944188250001,-73.7523739499999
nonlethal,18-24,Black,Male,40.662930353,-73.919705132
nonlethal,0-17,Hispanic,Female,40.6382423550001,-74.078351189
lethal,25-44,Black,Male,40.8263236490001,-73.939377513
nonlethal,18-24,Black,Male,40.8866801140001,-73.847652954
nonlethal,18-24,Black,Female,40.827132073,-73.898520686
nonlethal,18-24,Hispanic,Male,40.8419698110001,-73.915296627
nonlethal,18-24,Black,Male,40.795694944,-73.93873725
nonlethal,25-44,Black,Male,40.6779649550001,-73.867778443
nonlethal,25-44,Black,Male,40.8188154050001,-73.95408521
lethal,25-44,Hispanic,Male,40.8359396060001,-73.886465989
lethal,25-44,White,Male,40.564100195,-74.182138438
lethal,25-44,Black,Male,40.6875126640001,-73.919837792
nonlethal,25-44,Hispanic,Male,40.757855814,-73.91660558
nonlethal,25-44,Hispanic,Male,40.8160497120001,-73.9205536429999
lethal,25-44,Black,Male,40.8540630260001,-73.9047838229999
nonlethal,25-44,Black,Male,40.833493209,-73.858395386
nonlethal,25-44,Hispanic,Female,40.752268965,-73.868208449
lethal,18-24,Hispanic,Male,40.799581523,-73.938816746
nonlethal,25-44,Other,Male,40.7578683620001,-73.788963197
nonlethal,18-24,Black,Male,40.677443839,-73.952744049
lethal,0-17,Black,Male,40.594974893,-73.7764827629999
nonlethal,25-44,Hispanic,Male,40.6822568150001,-73.869331114
nonlethal,0-17,Black,Male,40.594974893,-73.7764827629999
nonlethal,18-24,Black,Male,40.6825744500001,-73.776178332
lethal,25-44,Hispanic,Male,40.7674767170001,-73.872290271
nonlethal,25-44,Black,Male,40.68571166,-73.915397758
lethal,25-44,Black,Male,40.834823081,-73.915977885
nonlethal,25-44,Other,Male,40.6698998850001,-73.90934368
nonlethal,18-24,Black,Male,40.8462720270001,-73.88503513
nonlethal,25-44,Hispanic,Female,40.681702505,-73.924679705
nonlethal,25-44,Black,Male,40.6709673340001,-73.937874888
nonlethal,25-44,Black,Male,40.853279007,-73.896351697
nonlethal,18-24,Black,Male,40.7020543590001,-73.91970129
nonlethal,45-64,White,Male,40.623816017,-74.073780898
nonlethal,25-44,Black,Male,40.689545348,-73.758125432
nonlethal,25-44,Hispanic,Male,40.8555765770001,-73.864779265
nonlethal,18-24,Hispanic,Male,40.8540630260001,-73.9047838229999
nonlethal,18-24,Black,Male,40.8290875450001,-73.9135062999999
nonlethal,18-24,Black,Male,40.701773895,-73.8079273279999
lethal,18-24,Black,Male,40.705865003,-73.797531624
nonlethal,45-64,Hispanic,Male,40.852381909,-73.9135157709999
nonlethal,18-24,Hispanic,Male,40.8293626500001,-73.914355107
nonlethal,25-44,Black,Male,40.8886466380001,-73.842505511
lethal,25-44,Hispanic,Male,40.8992283550001,-73.8536541779999
lethal,25-44,Black,Male,40.7213599880001,-73.980848653
nonlethal,0-17,Black,Male,40.8595861440001,-73.8873619359999
nonlethal,25-44,Black,Female,40.8378421210001,-73.9196277519999
nonlethal,18-24,Black,Male,40.6758079480001,-73.952730787
nonlethal,18-24,Black,Male,40.717448534,-73.9402809869999
lethal,25-44,Black,Male,40.8238242,-73.907742916
nonlethal,25-44,White,Male,40.8220201250001,-73.8582644379999
nonlethal,25-44,Hispanic,Male,40.8421533550001,-73.843949208
nonlethal,0-17,Black,Male,40.66296462,-73.7308386889999
nonlethal,25-44,Hispanic,Male,40.701901966,-73.9216057359999
nonlethal,0-17,Black,Male,40.814414915,-73.9405335709999
lethal,25-44,Black,Male,40.755862463,-73.942437503
lethal,25-44,Black,Male,40.8130085290001,-73.956545769
lethal,18-24,Black,Male,40.6697214650001,-73.876842881
nonlethal,18-24,Black,Male,40.6673152640001,-73.917937162
