shooting_type,age_group,race,sex,lat,lng
nonlethal,20,POC,Male,39.9826095,-75.18668003
nonlethal,10,POC,Female,39.99074481,-75.16586881
nonlethal,20,POC,Male,39.98908514,-75.15494528
nonlethal,20,POC,Male,39.98648951,-75.15791825
lethal,25,POC,Male,39.98906592,-75.162789
nonlethal,30,POC,Male,39.99348634,-75.17705159
nonlethal,35,POC,Male,39.99157646,-75.16270972
nonlethal,75,POC,Male,39.99191407,-75.16161471
nonlethal,35,POC,Male,39.98654423,-75.15628342
nonlethal,15,POC,Male,39.96975194,-75.15360765
nonlethal,15,POC,Male,39.96975194,-75.15360765
nonlethal,18,POC,Male,39.98852579,-75.16097579
nonlethal,18,POC,Male,39.98746653,-75.17270172
nonlethal,15,POC,Male,39.98746653,-75.17270172
nonlethal,18,POC,Male,39.98746653,-75.17270172
nonlethal,35,POC,Male,39.99135399,-75.1815112
nonlethal,20,POC,Male,39.98902433,-75.16895415
lethal,30,POC,Male,39.99610832,-75.17320972
nonlethal,25,POC,Male,39.99166502,-75.14980351
nonlethal,15,POC,Female,39.99108894,-75.15027348
nonlethal,30,POC,Male,39.98934104,-75.15421313
nonlethal,45,POC,Male,39.98934104,-75.15421313
nonlethal,30,POC,Male,39.99108894,-75.15027348
lethal,35,POC,Male,39.99141095,-75.15766165
nonlethal,20,POC,Male,39.9857837,-75.15263277
nonlethal,25,POC,Male,39.97167522,-75.16145278
nonlethal,25,POC,Male,39.96970206,-75.15530693
lethal,30,POC,Male,39.98107175,-75.17244304
nonlethal,35,POC,Male,39.98936513,-75.16664439
nonlethal,20,POC,Male,39.99349059,-75.18097577
nonlethal,30,POC,Male,39.99541606,-75.15296036
nonlethal,35,POC,Male,39.98460303,-75.1781785
nonlethal,35,POC,Male,39.99056748,-75.15317925
nonlethal,20,POC,Male,39.9791198,-75.18241735
nonlethal,35,White,Male,39.98988414,-75.12545432
nonlethal,25,POC,Male,39.99553068,-75.11626647
nonlethal,18,POC,Male,39.9791198,-75.18241735
nonlethal,15,POC,Male,39.9791198,-75.18241735
nonlethal,18,POC,Male,39.9791198,-75.18241735
lethal,35,POC,Male,39.97109393,-75.15854167
nonlethal,20,White,Male,40.00843934,-75.09628194
