shooting_type,age_group,race,sex,lat,lng
nonlethal,25,POC,Male,34.0537,-118.2034
nonlethal,20,POC,Male,34.0738,-118.2078
nonlethal,20,POC,Male,34.0489,-118.1944
lethal,35,POC,Male,34.0544,-118.2007
lethal,65,POC,Male,34.0442,-118.2439
nonlethal,35,POC,Male,34.0867,-118.1768
nonlethal,30,POC,Male,34.017,-118.3477
nonlethal,25,POC,Male,34.0867,-118.1768
lethal,45,POC,Male,34.0254,-118.2227
nonlethal,25,POC,Male,33.7907,-118.2829
lethal,35,POC,Male,34.0888,-118.2881
nonlethal,25,POC,Male,34.0428,-118.2167
nonlethal,35,POC,Male,34.0468,-118.2502
nonlethal,30,POC,Male,34.0238,-118.3669
nonlethal,35,POC,Male,34.0438,-118.2547
lethal,25,POC,Male,34.0285,-118.2031
nonlethal,25,POC,Male,34.0382,-118.2432
nonlethal,35,POC,Male,34,-118.3269
nonlethal,30,POC,Male,34.061,-118.2775
nonlethal,35,POC,Female,33.7875,-118.2479
nonlethal,30,POC,Male,34.0349,-118.3182
nonlethal,18,POC,Female,34.0137,-118.3435
nonlethal,20,POC,Male,34.073,-118.264
nonlethal,25,POC,Male,34.0073,-118.298
lethal,30,White,Male,34.0205,-118.1957
nonlethal,25,POC,Male,34.0378,-118.2194
lethal,25,POC,Male,34.0073,-118.29
nonlethal,30,POC,Male,34.0881,-118.1877
nonlethal,30,POC,Male,34.0349,-118.3182
nonlethal,30,POC,Male,34.0492,-118.2742
nonlethal,25,POC,Male,34.0462,-118.2153
nonlethal,25,POC,Male,34.0276,-118.345
nonlethal,35,POC,Male,34.0444,-118.2541
nonlethal,25,POC,Male,34.0216,-118.2048
nonlethal,45,POC,Male,34.0467,-118.252
nonlethal,25,POC,Male,34.0474,-118.2241
nonlethal,25,POC,Male,34.0417,-118.2444
nonlethal,30,POC,Male,34.0215,-118.3524
nonlethal,30,POC,Male,34.0376,-118.2166
nonlethal,18,POC,Male,34.0195,-118.3489
nonlethal,35,POC,Female,34.0145,-118.3045
nonlethal,35,POC,Male,34.0442,-118.2109
nonlethal,35,POC,Male,34.0478,-118.2288
nonlethal,20,White,Male,34.0507,-118.2643
nonlethal,25,POC,Female,34.0511,-118.2707
nonlethal,35,POC,Male,34.0386,-118.2201
nonlethal,30,POC,Male,34.049,-118.1946
nonlethal,18,POC,Male,34.0526,-118.2278
nonlethal,30,POC,Female,34.0038,-118.2827
lethal,25,POC,Male,33.7737,-118.2581
nonlethal,25,POC,Male,34.0717,-118.2493
nonlethal,25,POC,Male,34.0717,-118.2493
nonlethal,30,POC,Male,34.0163,-118.3421
nonlethal,35,POC,Male,34.0384,-118.2571
nonlethal,30,POC,Male,34.0479,-118.2277
nonlethal,45,POC,Male,34.0173,-118.201
nonlethal,30,POC,Male,34.0763,-118.2613
lethal,45,POC,Male,34.0775,-118.2218
nonlethal,20,POC,Male,34.0398,-118.2413
nonlethal,25,POC,Male,34.0365,-118.2709
nonlethal,15,POC,Male,34.0591,-118.1965
lethal,35,POC,Male,34.0145,-118.2002
nonlethal,25,POC,Male,34.0339,-118.2012
nonlethal,30,POC,Male,34.0302,-118.2043
nonlethal,20,POC,Male,34.0339,-118.2012
nonlethal,35,POC,Male,34.0237,-118.3722
nonlethal,20,POC,Male,34.0428,-118.2353
nonlethal,25,POC,Male,34.059,-118.2164
nonlethal,15,POC,Male,34.0635,-118.1791
nonlethal,20,POC,Female,34.0428,-118.2353
nonlethal,18,POC,Male,34.0268,-118.3318
nonlethal,25,POC,Male,34.0333,-118.3189
nonlethal,25,POC,Male,34.0441,-118.2105
nonlethal,30,POC,Male,34.0655,-118.2072
lethal,25,POC,Male,34.0441,-118.2105
nonlethal,25,POC,Male,34.0771,-118.2157
nonlethal,35,POC,Male,34.0309,-118.3024
nonlethal,30,POC,Male,34.0661,-118.2077
nonlethal,25,POC,Male,34.0173,-118.205
nonlethal,25,POC,Male,34.0325,-118.3503
nonlethal,20,POC,Male,34.0462,-118.2738
nonlethal,30,POC,Male,34.0159,-118.3536
nonlethal,30,POC,Female,34.0155,-118.3427
nonlethal,25,POC,Female,34.055,-118.2735
lethal,30,POC,Male,34.1077,-118.1861
lethal,20,White,Male,34.093,-118.1618
nonlethal,20,POC,Female,34.0155,-118.3427
lethal,25,POC,Male,34.0711,-118.2599
nonlethal,25,POC,Male,34.055,-118.2735
lethal,20,POC,Male,34.0261,-118.3272
nonlethal,20,POC,Male,34.0609,-118.2586
lethal,30,POC,Male,34.0475,-118.2714
lethal,45,POC,Male,34.0166,-118.22
nonlethal,20,POC,Male,34.0609,-118.2586
nonlethal,45,POC,Female,34.0429,-118.2462
lethal,20,POC,Female,34.0445,-118.2116
lethal,35,POC,Male,34.0424,-118.281
lethal,20,POC,Male,34.0445,-118.2116
lethal,30,POC,Male,34.0239,-118.3351
nonlethal,30,POC,Male,34.0452,-118.2041
lethal,35,White,Male,34.0886,-118.1724
nonlethal,25,POC,Male,34.0591,-118.2636
nonlethal,45,POC,Male,34.0557,-118.2758
lethal,30,POC,Male,34.0357,-118.2007
nonlethal,55,POC,Male,34.0349,-118.3182
nonlethal,25,POC,Male,34.0309,-118.3351
nonlethal,20,POC,Male,33.7948,-118.2694
nonlethal,30,POC,Male,34.0145,-118.2937
nonlethal,18,POC,Male,34.0474,-118.2237
lethal,20,POC,Male,34.0417,-118.2584
nonlethal,45,POC,Male,34.0049,-118.3334
lethal,45,POC,Male,34.0091,-118.3089
nonlethal,35,POC,Male,34.0148,-118.3222
nonlethal,30,POC,Male,33.7342,-118.2814
lethal,25,POC,Male,34.0087,-118.324
lethal,25,POC,Female,34.021,-118.2202
nonlethal,25,POC,Female,34.0998,-118.3211
nonlethal,20,POC,Male,34.0998,-118.3244
nonlethal,20,POC,Male,33.7243,-118.2963
nonlethal,25,POC,Male,34.0918,-118.3109
nonlethal,15,POC,Male,33.746,-118.2857
nonlethal,20,POC,Male,34.0858,-118.3115
lethal,55,White,Male,34.1334,-118.2661
nonlethal,20,POC,Male,34.0998,-118.3211
nonlethal,20,POC,Male,33.7724,-118.2684
nonlethal,25,POC,Male,34.0416,-118.3836
nonlethal,30,POC,Male,34.1034,-118.3325
nonlethal,35,POC,Male,33.8213,-118.3064
nonlethal,45,POC,Male,34.128,-118.42
lethal,25,POC,Male,34.0837,-118.3553
nonlethal,25,POC,Male,33.8201,-118.3015
nonlethal,35,POC,Male,34.0416,-118.3516
nonlethal,65,POC,Male,33.785,-118.2554
lethal,18,POC,Male,33.7894,-118.2458
nonlethal,45,POC,Male,34.1111,-118.3326
nonlethal,30,POC,Male,34.0935,-118.2878
nonlethal,25,POC,Male,34.0945,-118.3591
